"sub","POA","token","syll_dur","v_dur","vot","Av","Ahi","max23","HiDiff","F23Diff"
20,4,140,0.278,0.259,0.019,35.1,21.9,22.4,13.2,12.7
16,4,4,0.3009,0.2766,0.0243,34.5,12.8,15.4,21.7,12.8
20,3,119,0.13,0.105,0.025,33.3,11.9,20.5,21.4,12.8
20,4,137,0.336,0.319,0.017,33.9,3.5,21,30.4,12.9
22,4,112,0.33,0.325,0.005,49.7,27.6,36.8,22.1,12.9
14,3,18,0.3277,0.2879,0.0398,42.3,4,29.3,38.3,13
13,3,99,0.2588,0.2272,0.0316,48,27.1,34.9,20.9,13.1
15,3,130,0.094,0.077,0.017,42.5,3.1,29.2,39.4,13.3
20,4,135,0.371,0.352,0.019,34.3,17,21,17.3,13.3
13,4,156,0.256,0.2448,0.0112,54.9,34.9,41.5,20,13.4
20,4,153,0.197,0.187,0.01,35.8,13,22.4,22.8,13.4
20,3,93,0.382,0.327,0.055,35.4,13.2,22,22.2,13.4
16,4,26,0.1764,0.1659,0.0105,28.7,13.7,11.8,15,13.7
15,3,116,0.135,0.119,0.016,43.5,13.2,29.7,30.3,13.8
16,4,16,0.2729,0.2533,0.0196,32.1,13.8,2.7,18.3,13.8
20,3,111,0.216,0.195,0.021,33.9,7.6,20,26.3,13.9
13,4,159,0.215,0.2036,0.0114,54.2,37,40.2,17.2,14
13,4,168,0.2373,0.2186,0.0187,50.2,29.2,36.1,21,14.1
16,4,17,0.2181,0.1964,0.0217,33.3,14.1,4.2,19.2,14.1
20,4,154,0.181,0.172,0.009,37.5,15.4,23.2,22.1,14.3
21,3,117,0.122,0.105,0.017,48.4,18.8,34.1,29.6,14.3
14,4,18,0.2207,0.2144,0.0063,40,11,25.5,29,14.5
15,3,111,0.133,0.118,0.015,41.7,10.6,27.2,31.1,14.5
19,2,54,0.212,0.194,0.018,54.3,33.5,39.8,20.8,14.5
13,3,96,0.2098,0.1859,0.0239,50.2,-2.2,35.4,52.4,14.8
20,4,150,0.197,0.188,0.009,35.3,20,20.5,15.3,14.8
20,3,118,0.192,0.166,0.026,28.1,2.8,13.3,25.3,14.8
13,3,125,0.2672,0.2225,0.0447,59.7,24.7,44.8,35,14.9
13,3,138,0.1372,0.1023,0.0349,51.2,11,36.2,40.2,15
13,4,146,0.2936,0.2833,0.0103,52.8,31,37.7,21.8,15.1
